week,temperature,relative_humidity,dew_point,precipitation (mm),rain (mm),snowfall (cm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction
1980-04-21/1980-04-27,29.29642857142857,46.39880952380952,14.862499999999999,1.5,1.5,0,1010.0035714285714,946.0095238095238,5.6190476190476195,0.6488095238095237,4.827380952380952,7.148809523809524,2.5082738095238097,9.685714285714285,254
1980-04-28/1980-05-04,30.323809523809523,46.916666666666664,14.932142857142859,2.4,2.4,0,1008.9880952380953,945.2595238095239,9.553571428571429,1.255952380952381,8.791666666666668,10.351190476190478,2.740297619047619,8.71190476190476,27
1980-05-05/1980-05-11,29.13333333333333,53.035714285714285,15.908333333333333,0.1,0.1,0,1009.2136904761904,945.2285714285715,3.886904761904762,1.601190476190476,1.6607142857142858,4.732142857142857,2.3420238095238095,11.549404761904762,252
1980-05-12/1980-05-18,29.03392857142857,55.047619047619044,16.566071428571426,0.6,0.6,0,1008.4369047619048,944.4827380952381,7.642857142857143,4.041666666666666,6.25,0.7797619047619048,2.2484523809523806,11.391666666666666,255
1980-05-19/1980-05-25,27.65595238095238,60.291666666666664,17.71190476190476,0.0,0.0,0,1008.4553571428571,944.2214285714286,12.136904761904761,12.61904761904762,1.2857142857142858,0.0,1.7769642857142858,14.358928571428569,247
1980-05-26/1980-06-01,27.989880952380954,63.625,19.314285714285713,0.4,0.4,0,1007.2357142857144,943.1511904761907,21.458333333333332,18.124999999999996,4.339285714285714,8.892857142857142,1.631547619047619,15.288095238095238,256
1980-06-02/1980-06-08,24.826190476190476,87.22619047619047,22.29345238095238,161.4,161.4,0,1004.0196428571428,939.4958333333334,79.48214285714286,52.42261904761904,54.32142857142857,72.83333333333334,0.48113095238095244,9.771428571428572,106
1980-06-09/1980-06-15,25.480357142857144,83.97023809523809,22.366071428571427,16.099999999999998,16.099999999999998,0,1005.9607142857143,941.4505952380952,75.20833333333334,54.5,25.648809523809522,64.2202380952381,0.5844642857142858,11.920238095238094,233
1980-06-16/1980-06-22,25.45892857142857,84.25,22.42440476190476,22.2,22.2,0,1003.1494047619047,938.8136904761905,79.82738095238095,60.27976190476189,18.76190476190476,81.5,0.5710714285714286,11.819642857142854,201
1980-06-23/1980-06-29,23.04583333333333,93.58928571428571,21.92440476190476,69.0,69.0,0,1003.9863095238095,939.0910714285714,99.05952380952382,86.67857142857143,63.898809523809526,89.60714285714286,0.18934523809523807,20.177380952380954,231
