date,temperature,relative_humidity,dew_point,precipitation (mm),rain (mm),snowfall (cm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_direction
1980-01-01,19.616666666666667,71.04166666666667,13.591666666666667,0.0,0.0,0,1012.6708333333332,946.4625,39.291666666666664,38.125,17.958333333333332,0.08333333333333333,0.7658333333333333,8.833333333333334,279
1980-01-02,18.925,69.04166666666667,12.145833333333334,0.0,0.0,0,1013.1833333333334,946.8041666666667,16.708333333333332,18.583333333333332,0.0,0.0,0.7991666666666667,7.770833333333333,257
1980-01-03,18.783333333333335,57.583333333333336,9.441666666666666,0.0,0.0,0,1013.6666666666666,947.2375000000001,2.7083333333333335,2.8333333333333335,0.16666666666666666,0.0,1.0391666666666668,6.1125,65
1980-01-04,20.474999999999998,55.833333333333336,10.983333333333334,0.0,0.0,0,1013.7333333333332,947.6541666666667,17.0,5.291666666666667,20.458333333333332,0.0,1.1525,11.954166666666667,81
1980-01-05,20.1875,72.625,14.679166666666667,0.0,0.0,0,1014.6958333333333,948.4833333333332,28.25,10.375,31.625,0.0,0.73375,11.416666666666666,87
1980-01-06,20.216666666666665,73.375,14.841666666666667,0.0,0.0,0,1015.8958333333334,949.625,43.041666666666664,24.125,35.625,0.0,0.7170833333333334,13.079166666666666,93
1980-01-07,21.895833333333332,65.16666666666667,14.504166666666668,0.0,0.0,0,1016.1875,950.2541666666666,37.958333333333336,9.541666666666666,48.958333333333336,0.0,1.0208333333333333,9.541666666666666,83
1980-01-08,22.662499999999998,62.041666666666664,14.466666666666667,0.0,0.0,0,1015.65,949.9125,37.541666666666664,4.625,55.541666666666664,0.0,1.1583333333333334,6.6125,14
1980-01-09,22.741666666666664,61.916666666666664,14.366666666666667,0.0,0.0,0,1014.9416666666666,949.2708333333334,31.0,10.333333333333334,36.041666666666664,0.0,1.1833333333333333,6.862500000000001,11
1980-01-10,22.3125,59.708333333333336,13.333333333333334,0.0,0.0,0,1013.5124999999999,947.8416666666667,24.375,9.0,27.125,0.0,1.2166666666666666,5.875,79
1980-01-11,21.566666666666666,56.583333333333336,12.025,0.0,0.0,0,1013.0166666666668,947.2125,3.2916666666666665,1.9166666666666667,2.5833333333333335,0.0,1.2379166666666668,7.6875,295
1980-01-12,20.816666666666666,50.208333333333336,9.604166666666666,0.0,0.0,0,1014.9250000000001,948.8333333333334,5.291666666666667,3.5,3.5416666666666665,0.0,1.325,6.245833333333334,9
1980-01-13,21.099999999999998,54.958333333333336,10.879166666666668,0.0,0.0,0,1015.1125000000001,949.0791666666668,2.9583333333333335,1.0,3.4166666666666665,0.0,1.2945833333333334,6.495833333333334,9
1980-01-14,22.116666666666664,56.333333333333336,12.195833333333333,0.0,0.0,0,1015.0291666666667,949.225,0.5,0.08333333333333333,0.625,0.0,1.33,6.254166666666666,27
1980-01-15,22.641666666666666,55.416666666666664,12.383333333333333,0.0,0.0,0,1014.525,948.8458333333333,0.16666666666666666,0.041666666666666664,0.20833333333333334,0.0,1.385,4.995833333333334,29
1980-01-16,22.1375,55.458333333333336,11.887500000000001,0.0,0.0,0,1014.625,948.8541666666666,0.0,0.0,0.0,0.0,1.3479166666666667,5.991666666666667,15
1980-01-17,22.204166666666666,53.791666666666664,11.570833333333333,0.0,0.0,0,1014.9625,949.1750000000001,1.25,0.041666666666666664,2.0833333333333335,0.0,1.3875,6.3125,86
1980-01-18,22.229166666666668,53.583333333333336,11.616666666666667,0.0,0.0,0,1016.1374999999999,950.2708333333334,3.5416666666666665,0.625,4.958333333333333,0.0,1.3991666666666667,7.445833333333333,94
1980-01-19,21.933333333333334,53.833333333333336,11.058333333333332,0.0,0.0,0,1017.0875,951.0958333333333,0.75,0.0,1.25,0.0,1.4170833333333333,7.516666666666667,137
1980-01-20,22.079166666666666,56.875,11.8375,0.0,0.0,0,1016.6958333333333,950.7583333333333,0.0,0.0,0.0,0.0,1.375,7.8875,4
1980-01-21,21.40833333333333,53.541666666666664,10.5375,0.0,0.0,0,1016.4916666666667,950.4333333333334,0.0,0.0,0.0,0.0,1.35625,6.070833333333333,16
1980-01-22,20.325,51.791666666666664,8.9,0.0,0.0,0,1015.5583333333334,949.3166666666666,0.0,0.0,0.0,0.0,1.3433333333333335,6.504166666666666,34
1980-01-23,20.416666666666668,47.375,7.266666666666667,0.0,0.0,0,1013.6583333333333,947.5625,0.0,0.0,0.0,0.0,1.47875,6.320833333333333,90
1980-01-24,21.166666666666668,49.791666666666664,8.9,0.0,0.0,0,1013.5958333333333,947.6583333333333,0.0,0.0,0.0,0.0,1.4733333333333334,6.641666666666667,96
1980-01-25,22.400000000000002,50.333333333333336,10.466666666666667,0.0,0.0,0,1014.0124999999999,948.3249999999999,0.0,0.0,0.0,0.0,1.5274999999999999,6.1375,56
1980-01-26,22.15833333333333,48.291666666666664,9.637500000000001,0.0,0.0,0,1013.0166666666668,947.3375,0.0,0.0,0.0,0.0,1.5733333333333333,6.5375000000000005,284
1980-01-27,19.720833333333335,61.833333333333336,10.920833333333334,0.0,0.0,0,1012.8083333333334,946.6083333333332,0.0,0.0,0.0,0.0,1.0887499999999999,9.075000000000001,270
1980-01-28,18.241666666666667,67.75,11.35,0.0,0.0,0,1012.8916666666668,946.375,12.458333333333334,13.791666666666666,0.0,0.0,0.8137500000000001,8.9,270
1980-01-29,19.083333333333332,48.291666666666664,6.5874999999999995,0.0,0.0,0,1012.4166666666666,946.1208333333334,0.4583333333333333,0.20833333333333334,0.0,0.7916666666666666,1.2995833333333333,5.7124999999999995,11
1980-01-30,20.033333333333335,47.25,7.0375000000000005,0.0,0.0,0,1011.6666666666666,945.6208333333334,0.0,0.0,0.0,0.0,1.4354166666666668,6.854166666666667,95
1980-01-31,21.029166666666665,52.25,9.516666666666667,0.0,0.0,0,1012.0875,946.2208333333333,1.3333333333333333,0.0,2.25,0.0,1.4166666666666667,8.591666666666667,267
1980-02-01,20.599999999999998,63.0,12.604166666666666,0.0,0.0,0,1012.8083333333334,946.8083333333334,12.958333333333334,6.75,11.625,0.0,1.0408333333333333,11.441666666666668,229
1980-02-02,17.60833333333333,71.125,11.795833333333334,0.0,0.0,0,1013.5291666666667,946.8458333333333,25.958333333333332,28.708333333333332,0.08333333333333333,0.0,0.6745833333333334,11.924999999999999,260
1980-02-03,18.0,66.83333333333333,10.420833333333333,0.0,0.0,0,1014.1291666666666,947.4791666666666,1.8333333333333333,2.0,0.0,0.0,0.8541666666666666,8.4125,270
1980-02-04,18.150000000000002,67.25,11.195833333333333,0.0,0.0,0,1014.7833333333333,948.1208333333334,16.916666666666668,18.833333333333332,0.0,0.0,0.8066666666666666,7.720833333333334,264
1980-02-05,18.458333333333332,43.708333333333336,4.395833333333333,0.0,0.0,0,1014.9166666666666,948.3166666666666,0.0,0.0,0.0,0.0,1.3491666666666668,6.325,18
1980-02-06,19.837500000000002,34.625,2.783333333333333,0.0,0.0,0,1014.4291666666667,948.1583333333333,0.0,0.0,0.0,0.0,1.6858333333333333,7.608333333333333,90
1980-02-07,21.270833333333332,34.0,4.216666666666667,0.0,0.0,0,1014.1708333333332,948.2208333333333,0.0,0.0,0.0,0.0,1.8104166666666668,8.745833333333334,90
1980-02-08,22.287499999999998,39.833333333333336,7.054166666666667,0.0,0.0,0,1014.2958333333332,948.5625,4.083333333333333,0.0,0.0,13.625,1.81375,8.608333333333333,90
1980-02-09,22.808333333333334,39.875,7.054166666666667,0.0,0.0,0,1014.025,948.4166666666666,0.0,0.0,0.0,0.0,1.9079166666666667,7.579166666666667,7
1980-02-10,22.775000000000002,33.458333333333336,4.770833333333333,0.0,0.0,0,1013.375,947.8125,0.0,0.0,0.0,0.0,2.012916666666667,8.741666666666667,57
1980-02-11,23.675,32.875,6.033333333333334,0.0,0.0,0,1014.4875000000001,949.0416666666666,5.0,0.0,5.666666666666667,5.208333333333333,2.0816666666666666,10.991666666666667,78
1980-02-12,25.516666666666666,36.958333333333336,9.25,0.0,0.0,0,1013.9375,948.9166666666666,15.541666666666666,0.0,25.875,0.0,2.169583333333333,10.033333333333333,88
1980-02-13,25.96666666666667,44.458333333333336,12.070833333333333,0.0,0.0,0,1013.0625,948.1833333333334,23.833333333333332,0.0,39.75,0.0,2.0429166666666667,7.916666666666667,86
1980-02-14,24.55,50.958333333333336,12.858333333333334,0.0,0.0,0,1013.0083333333333,947.8416666666667,7.833333333333333,0.0,13.125,0.0,1.7004166666666667,9.029166666666667,262
1980-02-15,22.170833333333334,56.125,11.950000000000001,0.0,0.0,0,1013.5791666666668,947.8791666666666,0.041666666666666664,0.041666666666666664,0.0,0.0,1.38,8.9375,265
1980-02-16,21.974999999999998,38.458333333333336,5.0375000000000005,0.0,0.0,0,1013.65,947.8916666666668,0.0,0.0,0.0,0.0,1.8395833333333333,5.675,23
1980-02-17,22.879166666666666,39.125,6.325,0.0,0.0,0,1013.4833333333332,947.9291666666667,0.0,0.0,0.0,0.0,1.9333333333333333,5.895833333333333,73
1980-02-18,23.375,43.041666666666664,8.470833333333333,0.0,0.0,0,1013.6708333333332,948.2041666666668,0.0,0.0,0.0,0.0,1.89125,7.158333333333334,4
